id	type	class
6439	video	Pneumonia
6811	video	Pneumonia
6876	video	Pneumonia
6903	video	Pneumonia
6952	video	Pneumonia
7408	video	Normal
7415	video	Covid
7431	video	Covid
7432	video	Covid
7500	video	Covid
7505	video	Covid
7507	video	Covid
7510	video	Covid
7511	video	Covid
7525	video	Covid
7543	video	Covid
7576	video	Normal
7579	video	Pneumonia
7581	video	Pneumonia
7582	video	Pneumonia
7583	video	Pneumonia
7738	video	Covid
8797	video	Pneumonia
8833	video	Covid
10248	video	Covid
10452	video	Covid
10813	video	Normal
10815	video	Normal
10819	video	Pneumonia
